"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2022","167.57","169.69","169.86","167.13","69.03M","-2.30%"
"08/19/2022","171.52","173.03","173.74","171.31","70.35M","-1.51%"
"08/18/2022","174.15","173.75","174.90","173.12","62.29M","-0.23%"
"08/17/2022","174.55","172.77","176.15","172.57","79.54M","0.88%"
"08/16/2022","173.03","172.78","173.71","171.66","56.38M","-0.09%"
"08/15/2022","173.19","171.52","173.39","171.35","54.09M","0.63%"
"08/12/2022","172.10","169.82","172.17","169.40","68.04M","2.14%"
"08/11/2022","168.49","170.06","170.99","168.19","57.15M","-0.44%"
"08/10/2022","169.24","167.68","169.34","166.90","70.17M","2.62%"
"08/09/2022","164.92","164.02","165.82","163.25","63.14M","0.03%"
"08/08/2022","164.87","166.37","167.81","164.20","60.36M","-0.29%"
"08/05/2022","165.35","163.21","165.85","163.00","56.70M","-0.28%"
"08/04/2022","165.81","166.01","167.19","164.43","55.47M","-0.19%"
"08/03/2022","166.13","160.84","166.59","160.75","82.51M","3.82%"
"08/02/2022","160.01","160.10","162.41","159.63","59.91M","-0.93%"
"08/01/2022","161.51","161.01","163.59","160.89","67.83M","-0.62%"
"07/29/2022","162.51","161.24","163.63","159.50","101.79M","3.28%"
"07/28/2022","157.35","156.98","157.64","154.41","81.38M","0.36%"
"07/27/2022","156.79","152.58","157.33","152.16","78.62M","3.42%"
"07/26/2022","151.60","152.26","153.09","150.80","55.14M","-0.88%"
"07/25/2022","152.95","154.01","155.04","152.28","53.62M","-0.74%"
"07/22/2022","154.09","155.39","156.28","153.41","66.68M","-0.81%"
"07/21/2022","155.35","154.50","155.57","151.94","65.09M","1.51%"
"07/20/2022","153.04","151.12","153.72","150.37","64.82M","1.35%"
"07/19/2022","151.00","147.92","151.23","146.91","82.98M","2.67%"
"07/18/2022","147.07","150.74","151.57","146.70","81.42M","-2.06%"
"07/15/2022","150.17","149.78","150.86","148.20","76.26M","1.15%"
"07/14/2022","148.47","144.08","148.95","143.25","78.14M","2.05%"
"07/13/2022","145.49","142.99","146.45","142.12","71.19M","-0.25%"
"07/12/2022","145.86","145.76","148.45","145.05","77.59M","0.68%"
"07/11/2022","144.87","145.67","146.64","143.78","63.31M","-1.48%"
"07/08/2022","147.04","145.26","147.55","145.00","64.55M","0.47%"
"07/07/2022","146.35","143.29","146.55","143.28","66.25M","2.40%"
"07/06/2022","142.92","141.35","144.12","141.08","74.06M","0.96%"
"07/05/2022","141.56","137.77","141.61","136.93","73.43M","1.89%"
"07/01/2022","138.93","136.04","139.04","135.66","71.05M","1.62%"
"06/30/2022","136.72","137.25","138.37","133.77","98.96M","-1.80%"
"06/29/2022","139.23","137.46","140.67","136.67","66.24M","1.30%"
"06/28/2022","137.44","142.13","143.42","137.32","67.32M","-2.98%"
"06/27/2022","141.66","142.70","143.49","140.96","70.21M","0.00%"
"06/24/2022","141.66","139.90","141.91","139.77","89.12M","2.45%"
"06/23/2022","138.27","136.82","138.59","135.63","72.43M","2.16%"
"06/22/2022","135.35","134.79","137.76","133.91","73.41M","-0.38%"
"06/21/2022","135.87","133.42","137.06","133.32","81.00M","3.28%"
"06/17/2022","131.56","130.07","133.08","129.81","134.52M","1.15%"
"06/16/2022","130.06","132.08","132.39","129.04","107.96M","-3.97%"
"06/15/2022","135.43","134.29","137.34","132.16","91.53M","2.01%"
"06/14/2022","132.76","133.13","133.89","131.48","84.78M","0.67%"
"06/13/2022","131.88","132.87","135.20","131.44","122.21M","-3.83%"
"06/10/2022","137.13","140.28","140.76","137.06","91.57M","-3.86%"
"06/09/2022","142.64","147.08","147.95","142.53","69.47M","-3.60%"
"06/08/2022","147.96","148.58","149.87","147.46","53.95M","-0.50%"
"06/07/2022","148.71","144.35","149.00","144.10","67.81M","1.76%"
"06/06/2022","146.14","147.03","148.57","144.90","71.60M","0.52%"
"06/03/2022","145.38","146.90","147.97","144.46","88.57M","-3.86%"
"06/02/2022","151.21","147.83","151.27","146.86","72.35M","1.68%"
"06/01/2022","148.71","149.90","151.74","147.68","74.29M","-0.09%"
"05/31/2022","148.84","149.07","150.66","146.84","103.72M","-0.53%"
"05/27/2022","149.64","145.39","149.68","145.26","90.98M","4.08%"
"05/26/2022","143.78","137.39","144.34","137.14","90.60M","2.32%"
"05/25/2022","140.52","138.43","141.79","138.34","92.48M","0.11%"
"05/24/2022","140.36","140.80","141.97","137.33","104.13M","-1.92%"
"05/23/2022","143.11","137.79","143.26","137.65","117.73M","4.01%"
"05/20/2022","137.59","139.09","140.70","132.61","137.43M","0.17%"
"05/19/2022","137.35","139.88","141.66","136.60","136.10M","-2.46%"
"05/18/2022","140.82","146.85","147.36","139.90","109.74M","-5.64%"
"05/17/2022","149.24","148.86","149.77","146.68","78.34M","2.54%"
"05/16/2022","145.54","145.55","147.52","144.18","86.64M","-1.07%"
"05/13/2022","147.11","144.59","148.10","143.11","113.99M","3.19%"
"05/12/2022","142.56","142.77","146.20","138.80","182.60M","-2.69%"
"05/11/2022","146.50","153.50","155.45","145.81","142.69M","-5.18%"
"05/10/2022","154.51","155.52","156.74","152.93","115.37M","1.61%"
"05/09/2022","152.06","154.93","155.83","151.49","131.58M","-3.32%"
"05/06/2022","157.28","156.01","159.44","154.18","116.13M","0.33%"
"05/05/2022","156.77","163.85","164.08","154.95","130.53M","-5.57%"
"05/04/2022","166.02","159.67","166.48","159.26","108.26M","4.10%"
"05/03/2022","159.48","158.15","160.71","156.32","88.97M","0.96%"
"05/02/2022","157.96","156.71","158.23","153.27","123.06M","0.20%"
"04/29/2022","157.65","161.84","166.20","157.25","131.75M","-3.66%"
"04/28/2022","163.64","159.25","164.51","158.93","130.22M","4.52%"
"04/27/2022","156.57","155.91","159.79","155.38","88.06M","-0.15%"
"04/26/2022","156.80","162.25","162.34","156.72","95.62M","-3.73%"
"04/25/2022","162.88","161.12","163.17","158.46","96.05M","0.67%"
"04/22/2022","161.79","166.46","167.87","161.50","84.88M","-2.78%"
"04/21/2022","166.42","168.91","171.53","165.91","87.23M","-0.48%"
"04/20/2022","167.23","168.76","168.88","166.10","67.93M","-0.10%"
"04/19/2022","167.40","165.02","167.82","163.91","67.72M","1.41%"
"04/18/2022","165.07","163.92","166.60","163.57","69.02M","-0.13%"
"04/14/2022","165.29","170.62","171.27","165.04","75.33M","-3.00%"
"04/13/2022","170.40","167.39","171.04","166.77","70.62M","1.63%"
"04/12/2022","167.66","168.02","169.87","166.64","79.27M","1.15%"
"04/11/2022","165.75","168.71","169.03","165.50","72.25M","-2.55%"
"04/08/2022","170.09","171.78","171.78","169.20","76.58M","-1.19%"
"04/07/2022","172.14","171.16","173.36","169.85","77.60M","0.18%"
"04/06/2022","171.83","172.36","173.63","170.13","89.06M","-1.85%"
"04/05/2022","175.06","177.50","178.30","174.41","73.40M","-1.89%"
"04/04/2022","178.44","174.57","178.49","174.44","76.55M","2.37%"
"04/01/2022","174.31","174.03","174.88","171.94","78.75M","-0.17%"
"03/31/2022","174.61","177.84","178.03","174.40","103.05M","-1.78%"
"03/30/2022","177.77","178.55","179.61","176.70","92.63M","-0.66%"
"03/29/2022","178.96","176.69","179.01","176.34","100.59M","1.91%"
"03/28/2022","175.60","172.17","175.73","172.00","90.37M","0.50%"
"03/25/2022","174.72","173.88","175.28","172.75","80.55M","0.37%"
"03/24/2022","174.07","171.06","174.14","170.21","90.13M","2.27%"
"03/23/2022","170.21","167.99","172.64","167.65","98.06M","0.82%"
"03/22/2022","168.82","165.51","169.42","164.91","81.53M","2.08%"
"03/21/2022","165.38","163.51","166.35","163.01","95.81M","0.85%"
